,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
0,178.115,0,0,0.00,0,0,9,-1
1,178.119,0,0,0.00,0,0,9,-1
2,178.124,0,0,0.00,0,0,9,-1
3,178.129,0,0,0.00,0,0,9,-1
4,178.134,0,0,0.00,0,0,9,-1
5,178.139,0,0,0.00,0,0,9,-1
6,178.144,0,0,0.00,0,0,9,-1
7,178.149,0,0,0.00,0,0,9,-1
8,178.155,0,0,0.00,0,0,9,-1
9,178.159,0,0,0.00,0,0,9,-1
10,178.164,0,0,0.00,0,0,9,-1
11,178.169,0,0,0.00,0,0,9,-1
12,178.174,0,0,0.00,0,0,9,-1
13,178.179,0,0,0.00,0,0,9,-1
14,178.184,0,0,0.00,0,0,9,-1
15,178.189,0,0,0.00,0,0,9,-1
16,178.195,0,0,0.00,0,0,9,-1
17,178.199,0,0,0.00,0,0,9,-1
18,178.204,0,0,0.00,0,0,9,-1
19,178.209,0,0,0.00,0,0,9,-1
20,178.214,0,0,0.00,0,0,9,-1
21,178.219,0,0,0.00,0,0,9,-1
22,178.226,0,0,0.00,0,0,9,-1
23,178.230,0,0,0.00,0,0,9,-1
24,178.235,0,0,0.00,0,0,9,-1
25,178.240,0,0,0.00,0,0,9,-1
26,178.245,0,0,0.00,0,0,9,-1
27,178.250,0,0,0.00,0,0,9,-1
28,178.256,0,0,0.00,0,0,9,-1
29,178.261,0,0,0.00,0,0,9,-1
30,178.265,0,0,0.00,0,0,9,-1
31,178.272,0,0,0.00,0,0,9,-1
32,178.277,0,0,0.00,0,0,9,-1
33,178.282,0,0,0.00,0,0,9,-1
34,178.287,0,0,0.00,0,0,9,-1
35,178.292,0,0,0.00,0,0,9,-1
36,178.298,0,0,0.00,0,0,9,-1
37,178.302,0,0,0.00,0,0,9,-1
38,178.308,0,0,0.00,0,0,9,-1
39,178.312,0,0,0.00,0,0,9,-1
40,178.317,0,0,0.00,0,0,9,-1
41,178.322,0,0,0.00,0,0,9,-1
42,178.327,0,0,0.00,0,0,9,-1
43,178.332,0,0,0.00,0,0,9,-1
44,178.337,0,0,0.00,0,0,9,-1
45,178.343,0,0,0.00,0,0,9,-1
46,178.348,0,0,0.00,0,0,9,-1
47,178.353,0,0,0.00,0,0,9,-1
48,178.359,0,0,0.00,0,0,9,-1
49,178.363,0,0,0.00,0,0,9,-1
50,178.368,0,0,0.00,0,0,9,-1
51,178.375,0,0,0.00,0,0,9,-1
52,178.379,0,0,0.00,0,0,9,-1
53,178.383,0,0,0.00,0,0,9,-1
54,178.388,0,0,0.00,0,0,9,-1
55,178.395,0,0,0.00,0,0,9,-1
56,178.399,0,0,0.00,0,0,9,-1
57,178.404,0,0,0.00,0,0,9,-1
58,178.409,0,0,0.00,0,0,9,-1
59,178.415,0,0,0.00,0,0,9,-1
60,178.419,0,0,0.00,0,0,9,-1
61,178.425,0,0,0.00,0,0,9,-1
62,178.429,0,0,0.00,0,0,9,-1
63,178.434,0,0,0.00,0,0,9,-1
64,178.439,0,0,0.00,0,0,9,-1
65,178.444,0,0,0.00,0,0,9,-1
66,178.449,0,0,0.00,0,0,9,-1
67,178.454,0,0,0.00,0,0,9,-1
68,178.459,0,0,0.00,0,0,9,-1
69,178.464,0,0,0.00,0,0,9,-1
70,178.469,0,0,0.00,0,0,9,-1
71,178.475,0,0,0.00,0,0,9,-1
72,178.479,0,0,0.00,0,0,9,-1
73,178.484,0,0,0.00,0,0,9,-1
74,178.489,0,0,0.00,0,0,9,-1
75,178.495,0,0,0.00,0,0,9,-1
76,178.499,0,0,0.00,0,0,9,-1
77,178.505,0,0,0.00,0,0,9,-1
78,178.510,0,0,0.00,0,0,9,-1
79,178.514,0,0,0.00,0,0,9,-1
80,178.519,0,0,0.00,0,0,9,-1
81,178.524,0,0,0.00,0,0,9,-1
82,178.529,0,0,0.00,0,0,9,-1
83,178.534,0,0,0.00,0,0,9,-1
84,178.539,0,0,0.00,0,0,9,-1
85,178.544,0,0,0.00,0,0,9,-1
86,178.550,0,0,0.00,0,0,9,-1
87,178.554,0,0,0.00,0,0,9,-1
88,178.560,0,0,0.00,0,0,9,-1
89,178.564,0,0,0.00,0,0,9,-1
90,178.569,0,0,0.00,0,0,9,-1
91,178.574,0,0,0.00,0,0,9,-1
92,178.580,0,0,0.00,0,0,9,-1
93,178.584,0,0,0.00,0,0,9,-1
94,178.589,0,0,0.00,0,0,9,-1
95,178.594,0,0,0.00,0,0,9,-1
96,178.599,0,0,0.00,0,0,9,-1
97,178.604,0,0,0.00,0,0,9,-1
98,178.609,0,0,0.00,0,0,9,-1
99,178.614,0,0,0.00,0,0,9,-1
100,178.619,0,0,0.00,0,0,9,-1
101,178.624,0,0,0.00,0,0,9,-1
102,178.630,0,0,0.00,0,0,9,-1
103,178.634,0,0,0.00,0,0,9,-1
104,178.639,0,0,0.00,0,0,9,-1
105,178.644,0,0,0.00,0,0,9,-1
106,178.651,0,0,0.00,0,0,9,-1
107,178.655,0,0,0.00,0,0,9,-1
108,178.660,0,0,0.00,0,0,9,-1
109,178.666,0,0,0.00,0,0,9,-1
110,178.673,0,0,0.00,0,0,9,-1
111,178.678,0,0,0.00,0,0,9,-1
112,178.683,0,0,0.00,0,0,9,-1
113,178.687,0,0,0.00,0,0,9,-1
114,178.692,0,0,0.00,0,0,9,-1
115,178.697,0,0,0.00,0,0,9,-1
116,178.702,0,0,0.00,0,0,9,-1
117,178.709,0,0,0.00,0,0,9,-1
118,178.716,0,0,0.00,0,0,9,-1
119,178.720,0,0,0.00,0,0,9,-1
120,178.725,0,0,0.00,0,0,9,-1
121,178.730,0,0,0.00,0,0,9,-1
122,178.735,0,0,0.00,0,0,9,-1
123,178.742,0,0,0.00,0,0,9,-1
124,178.746,0,0,0.00,0,0,9,-1
125,178.751,0,0,0.00,0,0,9,-1
126,178.757,0,0,0.00,0,0,9,-1
127,178.761,0,0,0.00,0,0,9,-1
128,178.766,0,0,0.00,0,0,9,-1
129,178.771,0,0,0.00,0,0,9,-1
130,178.776,0,0,0.00,0,0,9,-1
131,178.781,0,0,0.00,0,0,9,-1
132,178.786,0,0,0.00,0,0,9,-1
133,178.791,0,0,0.00,0,0,9,-1
134,178.796,0,0,0.00,0,0,9,-1
135,178.801,0,0,0.00,0,0,9,-1
136,178.808,0,0,0.00,0,0,9,-1
137,178.813,0,0,0.00,0,0,9,-1
138,178.818,0,0,0.00,0,0,9,-1
139,178.822,0,0,0.00,0,0,9,-1
140,178.827,0,0,0.00,0,0,9,-1
141,178.832,0,0,0.00,0,0,9,-1
142,178.838,0,0,0.00,0,0,9,-1
143,178.842,0,0,0.00,0,0,9,-1
144,178.847,0,0,0.00,0,0,9,-1
145,178.852,0,0,0.00,0,0,9,-1
146,178.857,0,0,0.00,0,0,9,-1
147,178.862,0,0,0.00,0,0,9,-1
148,178.867,0,0,0.00,0,0,9,-1
