,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
0,0.1,0,0,0.00,0,-1,0,-1
1,0.5,0,0,0.00,0,-1,0,-1
2,0.11,0,0,0.00,0,-1,0,-1
3,0.15,0,0,0.00,0,-1,0,-1
4,0.20,0,0,0.00,0,-1,0,-1
5,0.26,0,0,0.00,0,-1,0,-1
6,0.30,0,0,0.00,0,-1,0,-1
7,0.36,0,0,0.00,0,-1,0,-1
8,0.41,0,0,0.00,0,-1,0,-1
9,0.45,0,0,0.00,0,-1,0,-1
10,0.51,0,0,0.00,0,-1,0,-1
11,0.55,0,0,0.00,0,-1,0,-1
12,0.60,0,0,0.00,0,-1,0,-1
13,0.66,0,0,0.00,0,-1,0,-1
14,0.70,0,0,0.00,0,-1,0,-1
15,0.76,0,0,0.00,0,-1,0,-1
16,0.80,0,0,0.00,0,-1,0,-1
17,0.85,0,0,0.00,0,-1,0,-1
18,0.90,0,0,0.00,0,-1,0,-1
19,0.95,0,0,0.00,0,-1,0,-1
20,0.101,0,0,0.00,0,-1,0,-1
21,0.106,0,0,0.00,0,-1,0,-1
22,0.110,0,0,0.00,0,-1,0,-1
23,0.115,0,0,0.00,0,-1,0,-1
24,0.121,0,0,0.00,0,-1,0,-1
25,0.126,0,0,0.00,0,-1,0,-1
26,0.130,0,0,0.00,0,-1,0,-1
27,0.136,0,0,0.00,0,-1,0,-1
28,0.140,0,0,0.00,0,-1,0,-1
29,0.146,0,0,0.00,0,-1,0,-1
30,0.150,0,0,0.00,0,-1,0,-1
31,0.155,0,0,0.00,0,-1,0,-1
32,0.161,0,0,0.00,0,-1,0,-1
33,0.165,0,0,0.00,0,-1,0,-1
34,0.171,0,0,0.00,0,-1,0,-1
35,0.176,0,0,0.00,0,-1,0,-1
36,0.181,0,0,0.00,0,-1,0,-1
37,0.186,0,0,0.00,0,-1,0,-1
38,0.190,0,0,0.00,0,-1,0,-1
39,0.195,0,0,0.00,0,-1,0,-1
40,0.200,0,0,0.00,0,-1,0,-1
41,0.205,0,0,0.00,0,-1,0,-1
42,0.210,0,0,0.00,0,-1,0,-1
43,0.215,0,0,0.00,0,-1,0,-1
44,0.220,0,0,0.00,0,-1,0,-1
45,0.226,0,0,0.00,0,-1,0,-1
46,0.230,0,0,0.00,0,-1,0,-1
47,0.235,0,0,0.00,0,-1,0,-1
48,0.240,0,0,0.00,0,-1,0,-1
49,0.246,0,0,0.00,0,-1,0,-1
50,0.251,0,0,0.00,0,-1,0,-1
51,0.255,0,0,0.00,0,-1,0,-1
52,0.261,0,0,0.00,0,-1,0,-1
53,0.265,0,0,0.00,0,-1,0,-1
54,0.270,0,0,0.00,0,-1,0,-1
55,0.275,0,0,0.00,0,-1,0,-1
56,0.281,0,0,0.00,0,-1,0,-1
57,0.286,0,0,0.00,0,-1,0,-1
58,0.290,0,0,0.00,0,-1,0,-1
59,0.296,0,0,0.00,0,-1,0,-1
60,0.300,0,0,0.00,0,-1,0,-1
61,0.306,0,0,0.00,0,-1,0,-1
62,0.311,0,0,0.00,0,-1,0,-1
63,0.316,0,0,0.00,0,-1,0,-1
64,0.320,0,0,0.00,0,-1,0,-1
65,0.326,0,0,0.00,0,-1,0,-1
66,0.330,0,0,0.00,0,-1,0,-1
67,0.335,0,0,0.00,0,-1,0,-1
68,0.341,0,0,0.00,0,-1,0,-1
69,0.345,0,0,0.00,0,-1,0,-1
70,0.350,0,0,0.00,0,-1,0,-1
71,0.355,0,0,0.00,0,-1,0,-1
72,0.361,0,0,0.00,0,-1,0,-1
73,0.366,0,0,0.00,0,-1,0,-1
74,0.370,0,0,0.00,0,-1,0,-1
75,0.375,0,0,0.00,0,-1,0,-1
76,0.381,0,0,0.00,0,-1,0,-1
77,0.385,0,0,0.00,0,-1,0,-1
78,0.391,0,0,0.00,0,-1,0,-1
79,0.395,0,0,0.00,0,-1,0,-1
80,0.400,0,0,0.00,0,-1,0,-1
81,0.406,0,0,0.00,0,-1,0,-1
82,0.411,0,0,0.00,0,-1,0,-1
83,0.415,0,0,0.00,0,-1,0,-1
84,0.420,0,0,0.00,0,-1,0,-1
85,0.425,0,0,0.00,0,-1,0,-1
86,0.431,0,0,0.00,0,-1,0,-1
87,0.435,0,0,0.00,0,-1,0,-1
88,0.440,0,0,0.00,0,-1,0,-1
89,0.445,0,0,0.00,0,-1,0,-1
90,0.451,0,0,0.00,0,-1,0,-1
91,0.455,0,0,0.00,0,-1,0,-1
92,0.460,0,0,0.00,0,-1,0,-1
93,0.466,0,0,0.00,0,-1,0,-1
94,0.470,0,0,0.00,0,-1,0,-1
95,0.476,0,0,0.00,0,-1,0,-1
96,0.480,0,0,0.00,0,-1,0,-1
97,0.485,0,0,0.00,0,-1,0,-1
98,0.490,0,0,0.00,0,-1,0,-1
99,0.495,0,0,0.00,0,-1,0,-1
100,0.500,0,0,0.00,0,-1,0,-1
101,0.505,0,0,0.00,0,-1,0,-1
102,0.512,0,0,0.00,0,-1,0,-1
103,0.515,0,0,0.00,0,-1,0,-1
104,0.520,0,0,0.00,0,-1,0,-1
105,0.525,0,0,0.00,0,-1,0,-1
106,0.530,0,0,0.00,0,-1,0,-1
107,0.535,0,0,0.00,0,-1,0,-1
108,0.540,0,0,0.00,0,-1,0,-1
109,0.545,0,0,0.00,0,-1,0,-1
110,0.550,0,0,0.00,0,-1,0,-1
111,0.555,0,0,0.00,0,-1,0,-1
112,0.560,0,0,0.00,0,-1,0,-1
113,0.565,0,0,0.00,0,-1,0,-1
114,0.570,0,0,0.00,0,-1,0,-1
115,0.575,0,0,0.00,0,-1,0,-1
116,0.580,0,0,0.00,0,-1,0,-1
117,0.585,0,0,0.00,0,-1,0,-1
118,0.590,0,0,0.00,0,-1,0,-1
119,0.595,0,0,0.00,0,-1,0,-1
120,0.600,0,0,0.00,0,-1,0,-1
121,0.605,0,0,0.00,0,-1,0,-1
